AVX SSE, SSE2, SSE3, SSSE3, SSE4.1, SSE4.2
accuracy, time
0.9900000095, 0.1624058038
accuracy, time, probability-of-0, probability-of-1, probability-of-2, probability-of-3, probability-of-4, probability-of-5, probability-of-6, probability-of-7, probability-of-8, probability-of-9
0, 0.9900000095, 88.88916016, 0.08, 0.14, 0.08, 0.11, 0.14, 0.06, 0.11, 0.15, 0.02, 0.11
0.05, 0.9900000095, 85.2057724, 0.08, 0.14, 0.08, 0.11, 0.14, 0.06, 0.11, 0.15, 0.02, 0.11
0.1, 0.9900000095, 76.02231598, 0.08, 0.14, 0.08, 0.11, 0.14, 0.06, 0.11, 0.15, 0.02, 0.11
0.15, 0.9900000095, 80.59146118, 0.08, 0.14, 0.08, 0.11, 0.14, 0.06, 0.11, 0.15, 0.02, 0.11
0.2, 0.9900000095, 84.02612305, 0.08, 0.14, 0.08, 0.11, 0.14, 0.06, 0.11, 0.15, 0.02, 0.11
0.25, 0.9900000095, 69.96047974, 0.08, 0.14, 0.08, 0.11, 0.14, 0.06, 0.11, 0.15, 0.02, 0.11
0.3, 0.9900000095, 59.43509293, 0.08, 0.14, 0.08, 0.11, 0.14, 0.06, 0.11, 0.15, 0.02, 0.11
0.35, 0.9900000095, 59.46855927, 0.08, 0.14, 0.08, 0.11, 0.14, 0.06, 0.11, 0.15, 0.02, 0.11
0.4, 0.9900000095, 53.30788803, 0.08, 0.14, 0.08, 0.11, 0.14, 0.06, 0.11, 0.15, 0.02, 0.11
0.45, 0.9900000095, 49.42987823, 0.08, 0.14, 0.08, 0.11, 0.14, 0.06, 0.11, 0.15, 0.02, 0.11
0.5, 1, 43.78285599, 0.08, 0.14, 0.08, 0.11, 0.14, 0.07, 0.1, 0.15, 0.02, 0.11
0.55, 1, 38.61209869, 0.08, 0.14, 0.08, 0.11, 0.14, 0.07, 0.1, 0.15, 0.02, 0.11
0.6, 0.9900000095, 34.26360703, 0.08, 0.14, 0.08, 0.11, 0.13, 0.07, 0.1, 0.15, 0.02, 0.12
0.65, 0.9800000191, 30.58041763, 0.08, 0.14, 0.08, 0.11, 0.13, 0.06, 0.11, 0.15, 0.02, 0.12
0.7, 0.9900000095, 26.74521446, 0.08, 0.14, 0.08, 0.11, 0.13, 0.07, 0.1, 0.15, 0.02, 0.12
0.75, 0.9800000191, 23.47929192, 0.08, 0.14, 0.08, 0.11, 0.13, 0.06, 0.1, 0.15, 0.03, 0.12
0.8, 0.9800000191, 17.88195038, 0.08, 0.14, 0.07, 0.11, 0.15, 0.06, 0.1, 0.15, 0.03, 0.11
0.81, 0.9800000191, 17.20269203, 0.08, 0.14, 0.07, 0.1, 0.15, 0.07, 0.1, 0.15, 0.03, 0.11
0.82, 0.9800000191, 16.54810905, 0.08, 0.14, 0.07, 0.1, 0.15, 0.07, 0.1, 0.15, 0.03, 0.11
0.83, 0.9800000191, 15.58585167, 0.08, 0.14, 0.07, 0.1, 0.15, 0.07, 0.1, 0.15, 0.03, 0.11
0.84, 0.9700000286, 14.49901772, 0.08, 0.15, 0.06, 0.1, 0.15, 0.07, 0.1, 0.15, 0.03, 0.11
0.85, 0.9499999881, 14.1325531, 0.08, 0.13, 0.06, 0.1, 0.15, 0.07, 0.1, 0.15, 0.04, 0.12
0.86, 0.9499999881, 12.95635605, 0.08, 0.13, 0.06, 0.1, 0.15, 0.07, 0.1, 0.15, 0.05, 0.11
0.87, 0.9300000072, 12.22724819, 0.08, 0.11, 0.06, 0.11, 0.16, 0.06, 0.1, 0.15, 0.05, 0.12
0.88, 0.9200000167, 11.23776627, 0.08, 0.12, 0.06, 0.11, 0.15, 0.05, 0.1, 0.15, 0.05, 0.13
0.89, 0.9200000167, 10.52172184, 0.08, 0.11, 0.06, 0.11, 0.16, 0.05, 0.1, 0.15, 0.06, 0.12
0.9, 0.8899999857, 9.330426216, 0.08, 0.11, 0.05, 0.11, 0.16, 0.05, 0.09, 0.15, 0.08, 0.12
0.91, 0.8100000024, 8.358423233, 0.08, 0.08, 0.05, 0.09, 0.17, 0.04, 0.09, 0.15, 0.11, 0.14
0.92, 0.8000000119, 7.477802277, 0.08, 0.1, 0.05, 0.09, 0.13, 0.05, 0.08, 0.14, 0.14, 0.14
0.93, 0.7200000286, 6.661902905, 0.08, 0.08, 0.04, 0.09, 0.13, 0.06, 0.05, 0.12, 0.21, 0.14
0.94, 0.6899999976, 6.383112907, 0.07, 0.07, 0.04, 0.09, 0.12, 0.04, 0.05, 0.13, 0.26, 0.13
0.95, 0.4399999976, 5.091362, 0.06, 0.04, 0.02, 0.07, 0.1, 0, 0.02, 0.09, 0.43, 0.17
0.96, 0.2399999946, 4.737212181, 0.04, 0.01, 0.01, 0.04, 0.02, 0, 0.01, 0.06, 0.6, 0.21
0.97, 0.1400000006, 3.418777943, 0.04, 0, 0, 0.05, 0.02, 0, 0, 0.04, 0.74, 0.11
0.98, 0.02999999933, 2.609161377, 0, 0, 0, 0.01, 0, 0, 0, 0, 0.97, 0.02
0.99, 0.01999999955, 1.404759407, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
1, 0.9900000095, 95.45457458, 0.08, 0.14, 0.08, 0.11, 0.14, 0.06, 0.11, 0.15, 0.02, 0.11
